english,transliteration,arabic,audioUrl
life,ɧayāt,حَياة,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav01-1.mp3
to live,"3āš, y3īš",عاش، يْعيش,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav01-2.mp3
"I live in Beirut, the capital of Lebanon.",ána 3āyiš b-bērūt 3āʂmit libnēn.,أنا عايِش بْبيْروت عاصْمِة لِبْنان.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav01-3.mp3
alive,3āyiš,عايِش,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav01-4.mp3
to be born,"wílid, yūlad",وِلِد، يولد,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav01-5.mp3
to be born,"xíliʔ, yíxlaʔ",خِلِق، يِخْلق,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav01-6.mp3
birth,wilēdi,وِلادِة,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav01-7.mp3
"baby, infant",raɖī3,رضيع,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav01-8.mp3
"to be breastfed, suckle","rúɖi3, yúrɖa3",رُضِع، يُرْضع,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav01-9.mp3
to breastfeed,"ráɖɖa3it, tráɖɖi3 [f.]",رضّعِت، تْرضِّع,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav01-10.mp3
diaper,ɧfāɖ,حْفاض,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav01-11.mp3
diaper,ɧafāɖa,حفاضة,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav01-12.mp3
child (0-17 years old),wálad (wlēd),وَلد (وْلاد),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav01-13.mp3
well-behaved,mházzab,مْهزّب,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav01-14.mp3
"naughty, mischievous",šáʔi,شقي,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav01-15.mp3
"childish, immature",mwáldan,مْوَلْدن,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav01-16.mp3
mature(-acting),wē3i,واعي,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav01-17.mp3
boy,ʂábi (ʂubyēn),صبي (صُبْيان ),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav01-18.mp3
girl,bínit (banēt),بِنِت (بنات),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav01-19.mp3
"adolescent, teenager",murāhiq,مُراهِق,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav01-20.mp3
to grow up,"kíbir, yíkbar",كِبِر، يِكْبر,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav01-21.mp3
person,šáxuʂ (ašxāʂ),شخُص (أشْخاص),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav01-22.mp3
people,nēs [pl.],ناس,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav01-23.mp3
young man,šēb (šabēb),شابّ (شباب),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav01-24.mp3
young woman,ʂabíyyi (ʂabāya),صبية (صبايا),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav01-25.mp3
man,rijjēl (rjēl),رِجّال (رْجال),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav01-26.mp3
woman,mára (niswēn),مرا (نِسْوان),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav01-27.mp3
adult,rāšid,راشِد,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav01-28.mp3
adult,wē3i,واعي,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav01-29.mp3
"adults, grown-ups",kbār [pl.],كْبار,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav01-30.mp3
"adults, grown-ups",wē3yīn [pl.],واعْيين,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav01-31.mp3
"young people, youth",šabēb [pl.],شباب,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav01-32.mp3
young,ʂɣīr (ʂɣār),صْغير (صْغار),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav01-33.mp3
in one’s fifties,b-3úmur ilxamsīnēt,بْعُمُر الخمْسينات,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav01-34.mp3
middle-aged,b-nuʂʂ 3úmru,بْنُصّ عُمْرو,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav01-35.mp3
[person] old(1),xityār,خِتْيار,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav01-36.mp3
[person] old,3ajūz,عجوز,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav01-37.mp3
old man,rijjēl xityār,رِجّال خِتْيار,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav01-38.mp3
old woman,xityāra,خِتْيارة,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav01-39.mp3
