english,transliteration,arabic,audioUrl
slowly,3a máhil,ع مهِل,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav52-1.mp3
"fast, quickly",b-sír3a,بْسِرْعة,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav52-2.mp3
at least,3ála lʔaʔáll,على الأقلّ,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav52-3.mp3
"almost, nearly, around, about",taʔrīban,تقْريباً,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav52-4.mp3
again,márra tēnyi,مرّة تانْية,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav52-5.mp3
alone,la-ɧālu,لحالو,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav52-6.mp3
also,kamēn,كمأن,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav52-7.mp3
here,hūn,هون,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav52-8.mp3
here,hūnī,هوني,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav52-9.mp3
there,hūnīk,هونيك,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav52-10.mp3
everywhere,kill maɧáll,كِلّ محلّ,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav52-11.mp3
everywhere,kill makēn,كِلّ مكان,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav52-12.mp3
I see him everywhere.,bšūfu b-ikill maɧáll.,بْشوفو بِكِلّ محلّ.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav52-13.mp3
somewhere,šī makēn,شي مكان,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav52-14.mp3
somewhere,máʈraɧ,مطْرح,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav52-15.mp3
We can eat somewhere else.,fīna nrūɧ nēkul b-šī makēn tēni.,فينا نْروح ناكُل بْشي مكان تاني.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav52-16.mp3
anywhere,wēn makēn,ويْن مكان,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav52-17.mp3
We can go anywhere.,fīna nrūɧ wēn makēn,فينا نْروح ويْن مكان.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav52-18.mp3
nowhere,wála maɧáll,وَلا محلّ,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav52-19.mp3
nowhere,wála makēn,وَلا مكان,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav52-20.mp3
Nowhere is safe.,wála makēn ēmin.,وَلا مكان آمِن.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav52-21.mp3
always,dāyman,دايْماً,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav52-22.mp3
She always does her homework.,dāyman btá3mil waʐīfita.,دايْماً بْتعْمِل وَظيفِتا.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav52-23.mp3
sometime,šī marra,شي مرّة,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav52-24.mp3
Let’s have coffee sometime.,xallīna níbʔa níšrab ʔáhwi šī márra.,خلّينا نِبْقى نِشْرب قهْوِة شي مرّة.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav52-25.mp3
sometimes,aɧyēnan,أحْياناً,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav52-26.mp3
sometimes,awʔāt,أَوْقات,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav52-27.mp3
I sometimes get up late.,awʔāt bfīʔ mitʔáxxir.,أَوْقات بْفيق مِتْأخِّر.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav52-28.mp3
anytime,ayy wáʔit,أيّ وَقِت,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav52-29.mp3
You can call me anytime.,fīk tuttúʂil fīni b-iʔayy wáʔit.,فيك تِتِّصِل فيني بِأيّ وَقِت.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav52-30.mp3
never,ábadan,أبداً,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav52-31.mp3
never,wála márra,وَلا مرّة,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav52-32.mp3
I never eat breakfast.,mā bitráwwaʔ ábadan.,ما بِتْروَّق أبداً.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav52-33.mp3
