english,transliteration,arabic
English,Transliteration,Egyptian Arabic
feeling,iHsaas,احساس
feelings,aHasiis,احاسيس
emotion,3aaTif,عاطف
emotions,3awaaTif,عواطف
emotional or sentimental,3aaTifi,عاطفي
to hide or repress one's feelings,katam - yiktim  fi nafsu,كتم - يكتم  في نفسه
passion,3iš',عشق
love,Hubb,حبّ
hate,karaahiyya,كراهية
yearning,Haniin,حنين
longing,šoo',شوق
despair,ya's,يأس
bitterness,maraara,مرارة
tear,dam3,دمع
tears,dumuu3,دموع
smiling ,bašuuš,بشوش
smiling ,bašuuš,بشوش
frowning ,mikaššar,مكشّر
to bellow at,ga3ar - yig3ar  fi,جعر - يجعر  في
to yell at,šaxaT - yušxoT  fi,شخط - يشخط  في
to belittle,hazza' - yihazza' ,هزّأ - يهزّأ 
to speak rudely to s.o.,baggaH - yibaggaH  fi,بجّح - يبجّح  في
to to break off relations with s.o. because of a dispute,xaaSim - yixaaSim ,خاصم - يخاصم 
a public disgrace,gorsa,جرسة
a public disgraces,goras,جرس
to spread scandal/gossip maliciously,namm - yinimm ,نم - ينم 
scandal-monger,nammaam,نمام
to excuse and sympathize with,3azar - yi3zur ,عزر - يعزر 
 kiss,boosa,بوسة
 kisses,boosaat,بوسات
to gasp,"šihi' - 
yišha' ",شهق - يشهق 
to moan,"ann - 
ya'inn ",أن - يئن 
 sigh,tanhiida,تنهيدة
 sighs,tanahiid,تناهيد
personality,šaxSiyya,شخصية
personalities,šaxSiyyaat,شخصيات
happy ,"mabsuuT 
",مبسوط 
happy s,su3adaa' ,سعداء 
glad,farHaan ,"فرحان
 "
delighted ,masruur ,"مسرور 
"
cheerful ,mariH ,"مرح 
"
proud ,"faxuur
 ",فخور 
content,raaDi,راضي
to be really happy about s.t. or really enjoy it,"insagam - 
yinsigim  min",انسجم - ينسجم  من
very happy/pleased,munsagim,منسجم
sad ,Haziin,حزين
sad s,Hazaana ,حزانة 
regretful ,"nadmaan
 ",ندمان 
depressed,mukta'ib,مكتئب
miserable,ta3iis,تعيس
miserables,tu3asa,تعساء
miserable,miskiin,مسكين
miserables,masakiin,مساكين
comfortable,mistarayyaH,مستريح
busy,mašġuul,مشغول
hopeful ,3ašmaan ,عشمان 
indifferent,miTanniš,مطنش
worried ,"'al'aan
 ",قلقان  
worries,"humuum
  hamm",هموم    هم
tense,mitwattar,متوتر
stressed,mašduud,مشدود
upset,za3laan,زعلان
to get upset,zi3il - yiz3al,زعل - يزعل
annoyed,mitdaayi',متضايق
to irritate s.o.,ġaaZ - yiġiiZ,غاظ - يغيظ
troublemaker,mušaaġib,مشاغب
frustrated,3andu iHbaaT,عنده احباط
fed up with,maxnuu' min,مخنوق
to get fed up with s.t.,"zihi' - 
yizha' min",زهق - يزهق من
angry ,ġaDbaan ,غضبان 
furious ,maf'uu3 min,مفقوع من
to explode with anger at,"Ta'' - 
yiTa'' min",طقّ - يطقّ من
His blood boiled ,dammu itHara',دمه اتحرق
embarrassed,maksuuf,مكسوف
bashful,xaguul,خجول
sensitive,Hassaas,حساس
quiet or calm,haadi,هادي
lonely,waHdaani,وحداني
loneliness,wiHda,وحدة
unfriendly,"minTiwi 
3ala nafsu",منطوي على نفسه
sociable,igtimaa3i,اجتماعي
chatterbox ,raġġaay,رغاي
naughty,ša'i,شقي
naughties,aš'iya,اشقياء
reckless,mutahawwir,متهوّر
amazed,mindihiš,مندهش
astonished,mistaġrab,مستغرب
to be taken aback,"ittaaxid - 
yittaaxid/itxadd - yitxadd",اتاخد - يتاخد
shocked,maS3uu',مصعوق
to give s.o. a shock,"Sa3a' - 
yiS3a' ",صعق - يصعق 
confused ,Hayraan ,حيران 
to confuse,"laxbaT
 - yilaxbaT ",لخبط - يلخبط 
hesitant,mutaraddid,متردّد
firm,Haazim,حازم
decisive,Haasim,حاسم
afraid ,"xaayif
 ",خايف 
panic,zu3r,ذعر
jealous ,ġayaraan,غيران
jealous s,ġayaari ,غيارى 
envious ,Hasuud,حسود
envious s,Hussaad ,حساد 
disgusted ,mišma'naT,مشمقنط
confident ,waasi' bi,واثق بـ
tired,ta3baan,تعبان
sleepy,na3saan,نعسان
stubborn,3anadi,عندي
stubborns,3unud,عند
hard-headed,raasu našfa,راسه ناشفة
greedy,Tammaa3,طماع
gluttonous,fag3aan,فجعان
selfish,anaani,أناني
selfless,ġeiri,غيري
generous,kariim,كريم
generous,karaam,كرام
spendthrift,iidu maxruuma,يده مخرومة
to spend too much money,"farraT
 - yifarraT  fi fluusu",فرّط - يفرّط  في فلوسه
stingy,baxiil,بخيل
frugal,"HariiS 
3ala fluusu",حريص على فلوسه
careful,HariiS,حريص
carefuls,HuraSa 3ala,حرصاء على
careless,muhmil,مهمل
affectionate ,Hanuun ,حنون 
loving,muHibb,محبّ
kind,Tayyib ,طيّب 
kind,šafuu',شفوق
kinds,šufa'a,شفقاء
kind,simiH,سمح
nice,laTiif,لطيف
nices,"luTaaf 
",لطاف 
pleasant,Zariif,ظريف
pleasants,Zuraaf ,"ظراف 
"
tolerant,Haliim,حليم
tolerants,Hulama,حلماء
gentle,ra'ii',رقيق
gentles,ru'aa',رقاق
polite,mu'addab,مؤدب
impolite,"'aliil/3adiim
 il-'adab",قليل \ عديم الأدب
shameless,"'aliil/3adiim
 il-Haya",قليل \ عديم الحياء
lazy,kaslaan,كسلان
hardworking,mugtahid,مجتهد
determined,muSammim,مصمم
alert,faayi',فائق
active,našiiT,نشيط
actives,nušaTa,نشطاء
picky,miwaswis,موسوس
fussy,nimaki,نمكي
irritable,3aSabi,عصبي
to get on s.o.'s nerves,"narviz
 - yinarviz ",نرفز - ينرفز 
brave,šugaa3,شجاع
braves,šug3aan,
bold,garii',جرئ
bolds,gura'a,
cowardly,gabaan,جبان
cowardlies,gubana,جبناء
curious,fuDuuli,فضولي
egotistical,maġruur,مغرور
conceited,'aliiT,قليط
pompous,mutakabbir,متكبّر
to make false boasts or claims,hagaS - yihguS ,هجص - يهجص 
to show off,"itmanZar
 - yitmanZar  3ala",اتمنظر - يتمنظر  على
humble,mitwaaDi3,متواضع
sensible,3aa'il,عاقل
sensibles,3u'ala,عقلاء
insane,magnuun,مجنون
insanes,maganiin,مجانين
crazy,mahwuus,مهووس
crazies,mahawiis,مهاويس
ignorant,gaahil,جاهل
ignorants,guhala,جهلاء
petty,haayif,هايف
stupid,saxiif,سخيف
stupids,suxafa,سخفاء
stupid,ġabi,غبي
stupids,aġbiya,أغبياء
smart,zaki,ذكي
smarts,azkiya,أذكياء
clever,šaaTir,شاطر
clevers,šaTriin,شاطرين
smart,nabiih,نبيه
smarts,nubaha,نبهاء
clever,naaSiH,ناصح
clevers,nuSaHa,نصحاء
wise ,Hakiim,حكيم
wise s,Hukama ,حكماء 
genius,3abqari,عبقري
geniuses,3abaqra,عباقرة
noble,nabiil,نبيل
nobles,nubala,نبلاء
honorable,šeriif,شريف
honorables,šurafa,شرفاء
honest,amiin,أمين
honests,umana ,أمناء 
truthful,Saadi',صادق
honest,naziih,نزيه
honests,nuzaha,نزهاء
straightfoward,doġri,دغري
liar,kaddaab,كداب
treacherous,ġaddaar,غدار
swindler,naSSaab,نصاب
someone who tells tall tales,faššaar,فشار
cunning,makkaar,مكّار
cruel ,'aasi ,قاس
cruel s,qusaah ,قساة 
sophisticated,midardaH,مدردح
naive,saazig,ساذج
naives,suzzaag,سذاج
optimistic,mitfaa'il,متفائل
pessimistic,mitšaa'im,متشائم
unique,fariid,فريد
fun to be around,dammu xafiif,دمه خفيف
funny,"biDaHHik 
in-naas",بيضحّك الناس
dull,dammu ti'iil,دمه تقيل
tedious,baayix/dammu baayix,بايخ \ دمه بايخ
