English,Standard Arabic,Transliteration,Egyptian Arabic,Transliteration
color,لون,loon,لون,loon
colors,ألوان,alwaan,ألوان,alwaan
colored,ملوّن,mulawwan,ملوّن,milawwin
light,فاتح,faatiH,فاتح,faatiH
dark,غامق,ġaamiq,غامق,ġaami'
bright,براق,barraaq,فاقع,faa'i3
shiny,لامع,laami3,لمعي,lam3i
black,اسود – سوداء,aswad , sudaa' , suud,اسود – سوداء,aswad , sudaa' , suud
blacks,سود,suud,سود,suud
white,أبيض – بيضاء,abyaD - beiDaa',أبيض – بيضاء,abyaD - beiDaa'
whites,بيض,biiD,بيض,biiD
blue,أزرق  -  زرقاء,azraq - zarqaa',أزرق  -  زرقاء,azraq - zarqaa'
blues,زرق,zurq,زرق,zurq
navy blue,كحلي,kuHli,كحلي,kuHli
royal blue,زهري,zahri,زهري,zahri
sky blue,سمائي,samaa'i,سماوي,samaawi
baby blue,لبني,labani,لبني,labani
indigo,نيلي,niili,نيلي,niili
turquoise,فيروزي,feiruuzi,فيروزي,faruuzi
green,أخضر – خضراء,axDar - xaDraa',أخضر – خضراء,axDar - xaDraa'
greens,خضر,xuDr,خضر,xuDr
bluish green,جنزاري,ginzaari,جنزاري,ginzaari
dark green,زيتي,zeiti,زيتي,zeiti
mustard (brownish) green,كموني,kammuuni,كموني,kammuuni
olive green,زيتوني,zeituuni,زتوني,zatuuni
pastel green,كرمبي,kurumbi,كرمبي,kurumbi
purple,ارجواني,urjuwaani,بنفسجي,banafsigi
red,أحمر - حمراء,aHmar - Hamraa',أحمر - حمراء,aHmar - Hamraa'
reds,حمر,Humr,حمر,Humr
scarlet,قرمزي,qrimzi,قرمزي,qurmuzi
pink,زهري,zahri,بمبي,bambi
shocking pink,بمبي مسخسخ,bambi msaxsax,بمبي مسخسخ,bambi msaxsax
rose-colored,وردي,wardi,وردي,wardi
orange,برتقالي,burtuqaali,برتقاني,burtu'aani
yellow,أصفر – صفراء,aSfar - Safraa',أصفر – صفراء,aSfar - Safraa'
yellows,صفر,Sufr,صفر,Sufr
canary yellow,كناري,kanaari,كناري,kanaari
lemon yellow,لموني,lamuuni,لموني,lamuuni
brown,بني,bunni,بني,bunni
light brown,بصلي,baSali,بصلي,baSali
light brown (particularly of eyes),عسلي,3asali,عسلي,3asali
brown-skinned (or euphemistic for black),أسمر - سمراء,asmar - samraa',أسمر - سمراء,asmar - samraa'
brown-skinned (or euphemistic for black)s,سمر,sumr,سمر,sumr
wheat-colored (complexion),قمحي,'amHi,قمحي,'amHi
fair-skinned,,abyaDaani - beiDa,أبيضاني - بيضا,abyaDaani - beiDa
fair-skinneds,بيض,biiD,بيض,biiD
pale, washed out,باهت,baahit,باهت,baahit
blond (complexion),أشقر - شقراء,ašqar - šaqraa',أشقر - شقراء,ašqar - šaqraa'
blond (complexion)s,شقر,šuqr,شقر,šuqr
chestnut,كستنائي,kastanaa'i,كستنائي,kastanaa'i
cream,أصفر شاحب,aSfar šaaHib,أصفر شاحب,aSfar šaaHib
grey,رمادي,ramaadi,رمادي,ramaadi
gold,ذهبي,dahabi,ذهبي,dahabi
silver,فضي,fiDDi,فضي,faDDi
beige,بيج,beiž,بيج,beiž
off-white,سمني,samni,سمني,samni
burgundy,نبتي,nibiti,نبتي,nibiti
maroon,زبيبي,zibiibi,زبيبي,zibiibi
